date,product,cut_type,size,sales_quantity
2022-01-30,Salmon Fillet,C,1-2kg,57
2022-01-30,Salmon Fillet,C,2-3kg,77
2022-01-30,Salmon Fillet,C,3-4kg,69
2022-01-30,Salmon Fillet,C,4-5kg,54
2022-01-30,Salmon Fillet,C,5-6kg,52
2022-01-30,Salmon Fillet,C,6-7kg,72
2022-01-30,Salmon Fillet,C,7-8kg,57
2022-01-30,Salmon Fillet,C,8-9kg,65
2022-01-30,Salmon Fillet,D,1-2kg,68
2022-01-30,Salmon Fillet,D,2-3kg,56
2022-01-30,Salmon Fillet,D,3-4kg,84
2022-01-30,Salmon Fillet,D,4-5kg,76
2022-01-30,Salmon Fillet,D,5-6kg,48
2022-01-30,Salmon Fillet,D,6-7kg,70
2022-01-30,Salmon Fillet,D,7-8kg,56
2022-01-30,Salmon Fillet,D,8-9kg,73
2022-01-30,Salmon Fillet,E,1-2kg,62
2022-01-30,Salmon Fillet,E,2-3kg,65
2022-01-30,Salmon Fillet,E,3-4kg,68
2022-01-30,Salmon Fillet,E,4-5kg,75
2022-01-30,Salmon Fillet,E,5-6kg,49
2022-01-30,Salmon Fillet,E,6-7kg,65
2022-01-30,Salmon Fillet,E,7-8kg,63
2022-01-30,Salmon Fillet,E,8-9kg,56
2022-01-30,Salmon Fillet,F,1-2kg,87
2022-01-30,Salmon Fillet,F,2-3kg,69
2022-01-30,Salmon Fillet,F,3-4kg,54
2022-01-30,Salmon Fillet,F,4-5kg,76
2022-01-30,Salmon Fillet,F,5-6kg,90
2022-01-30,Salmon Fillet,F,6-7kg,77
2022-01-30,Salmon Fillet,F,7-8kg,44
2022-01-30,Salmon Fillet,F,8-9kg,58
2022-01-30,Trout Fillet,,,140
2022-01-30,Cod Fillet,,,104
2022-01-30,Shrimp,,,133
2022-01-30,Herring,,,150
2022-02-06,Salmon Fillet,A,1-2kg,67
2022-02-06,Salmon Fillet,A,2-3kg,70
2022-02-06,Salmon Fillet,A,3-4kg,38
2022-02-06,Salmon Fillet,A,4-5kg,67
2022-02-06,Salmon Fillet,A,5-6kg,71
2022-02-06,Salmon Fillet,A,6-7kg,61
2022-02-06,Salmon Fillet,A,7-8kg,88
2022-02-06,Salmon Fillet,A,8-9kg,65
2022-02-06,Salmon Fillet,B,1-2kg,71
2022-02-06,Salmon Fillet,B,2-3kg,82
2022-02-06,Salmon Fillet,B,3-4kg,92
2022-02-06,Salmon Fillet,B,4-5kg,66
2022-02-06,Salmon Fillet,B,5-6kg,85
2022-02-06,Salmon Fillet,B,6-7kg,71
2022-02-06,Salmon Fillet,B,7-8kg,69
2022-02-06,Salmon Fillet,B,8-9kg,77
2022-02-06,Salmon Fillet,C,1-2kg,76
2022-02-06,Salmon Fillet,C,2-3kg,74
2022-02-06,Salmon Fillet,C,3-4kg,72
2022-02-06,Salmon Fillet,C,4-5kg,67
2022-02-06,Salmon Fillet,C,5-6kg,82
2022-02-06,Salmon Fillet,C,6-7kg,80
2022-02-06,Salmon Fillet,C,7-8kg,88
2022-02-06,Salmon Fillet,C,8-9kg,62
2022-02-06,Salmon Fillet,D,1-2kg,101
2022-02-06,Salmon Fillet,D,2-3kg,51
2022-02-06,Salmon Fillet,D,3-4kg,72
2022-02-06,Salmon Fillet,D,4-5kg,76
2022-02-06,Salmon Fillet,D,5-6kg,80
2022-02-06,Salmon Fillet,D,6-7kg,65
2022-02-06,Salmon Fillet,D,7-8kg,73
2022-02-06,Salmon Fillet,D,8-9kg,67
2022-02-06,Salmon Fillet,E,1-2kg,75
2022-02-06,Salmon Fillet,E,2-3kg,88
2022-02-06,Salmon Fillet,E,3-4kg,84
2022-02-06,Salmon Fillet,E,4-5kg,72
2022-02-06,Salmon Fillet,E,5-6kg,83
2022-02-06,Salmon Fillet,E,6-7kg,84
2022-02-06,Salmon Fillet,E,7-8kg,82
2022-02-06,Salmon Fillet,E,8-9kg,81
2022-02-06,Salmon Fillet,F,1-2kg,71
2022-02-06,Salmon Fillet,F,2-3kg,71
2022-02-06,Salmon Fillet,F,3-4kg,85
2022-02-06,Salmon Fillet,F,4-5kg,82
2022-02-06,Salmon Fillet,F,5-6kg,71
2022-02-06,Salmon Fillet,F,6-7kg,80
2022-02-06,Salmon Fillet,F,7-8kg,89
2022-02-06,Salmon Fillet,F,8-9kg,75
2022-02-06,Trout Fillet,,,161
2022-02-06,Cod Fillet,,,141
2022-02-06,Shrimp,,,139
2022-02-06,Herring,,,171
2022-02-13,Salmon Fillet,A,1-2kg,86
2022-02-13,Salmon Fillet,A,2-3kg,88
2022-02-13,Salmon Fillet,A,3-4kg,86
2022-02-13,Salmon Fillet,A,4-5kg,80
2022-02-13,Salmon Fillet,A,5-6kg,84
2022-02-13,Salmon Fillet,A,6-7kg,75
2022-02-13,Salmon Fillet,A,7-8kg,81
2022-02-13,Salmon Fillet,A,8-9kg,70
2022-02-13,Salmon Fillet,B,1-2kg,80
2022-02-13,Salmon Fillet,B,2-3kg,85
2022-02-13,Salmon Fillet,B,3-4kg,69
2022-02-13,Salmon Fillet,B,4-5kg,97
2022-02-13,Salmon Fillet,B,5-6kg,62
2022-02-13,Salmon Fillet,B,6-7kg,61
2022-02-13,Salmon Fillet,B,7-8kg,86
2022-02-13,Salmon Fillet,B,8-9kg,86
2022-02-13,Salmon Fillet,C,1-2kg,82
2022-02-13,Salmon Fillet,C,2-3kg,83
2022-02-13,Salmon Fillet,C,3-4kg,80
2022-02-13,Salmon Fillet,C,4-5kg,67
2022-02-13,Salmon Fillet,C,5-6kg,72
2022-02-13,Salmon Fillet,C,6-7kg,74
2022-02-13,Salmon Fillet,C,7-8kg,88
2022-02-13,Salmon Fillet,C,8-9kg,70
2022-02-13,Salmon Fillet,D,1-2kg,69
2022-02-13,Salmon Fillet,D,2-3kg,76
2022-02-13,Salmon Fillet,D,3-4kg,81
2022-02-13,Salmon Fillet,D,4-5kg,70
2022-02-13,Salmon Fillet,D,5-6kg,67
2022-02-13,Salmon Fillet,D,6-7kg,75
2022-02-13,Salmon Fillet,D,7-8kg,73
2022-02-13,Salmon Fillet,D,8-9kg,71
2022-02-13,Salmon Fillet,E,1-2kg,66
2022-02-13,Salmon Fillet,E,2-3kg,76
2022-02-13,Salmon Fillet,E,3-4kg,60
2022-02-13,Salmon Fillet,E,4-5kg,64
2022-02-13,Salmon Fillet,E,5-6kg,63
2022-02-13,Salmon Fillet,E,6-7kg,70
2022-02-13,Salmon Fillet,E,7-8kg,76
2022-02-13,Salmon Fillet,E,8-9kg,93
2022-02-13,Salmon Fillet,F,1-2kg,85
2022-02-13,Salmon Fillet,F,2-3kg,74
2022-02-13,Salmon Fillet,F,3-4kg,72
2022-02-13,Salmon Fillet,F,4-5kg,66
2022-02-13,Salmon Fillet,F,5-6kg,76
2022-02-13,Salmon Fillet,F,6-7kg,71
2022-02-13,Salmon Fillet,F,7-8kg,81
2022-02-13,Salmon Fillet,F,8-9kg,69
2022-02-13,Trout Fillet,,,155
2022-02-13,Cod Fillet,,,164
2022-02-13,Shrimp,,,148
2022-02-13,Herring,,,151
2022-02-20,Salmon Fillet,A,1-2kg,86
2022-02-20,Salmon Fillet,A,2-3kg,67
2022-02-20,Salmon Fillet,A,3-4kg,73
2022-02-20,Salmon Fillet,A,4-5kg,76
2022-02-20,Salmon Fillet,A,5-6kg,76
2022-02-20,Salmon Fillet,A,6-7kg,70
2022-02-20,Salmon Fillet,A,7-8kg,75
2022-02-20,Salmon Fillet,A,8-9kg,78
2022-02-20,Salmon Fillet,B,1-2kg,90
2022-02-20,Salmon Fillet,B,2-3kg,87
2022-02-20,Salmon Fillet,B,3-4kg,99
2022-02-20,Salmon Fillet,B,4-5kg,67
2022-02-20,Salmon Fillet,B,5-6kg,82
2022-02-20,Salmon Fillet,B,6-7kg,76
2022-02-20,Salmon Fillet,B,7-8kg,101
2022-02-20,Salmon Fillet,B,8-9kg,66
2022-02-20,Salmon Fillet,C,1-2kg,70
2022-02-20,Salmon Fillet,C,2-3kg,71
2022-02-20,Salmon Fillet,C,3-4kg,50
2022-02-20,Salmon Fillet,C,4-5kg,66
2022-02-20,Salmon Fillet,C,5-6kg,70
2022-02-20,Salmon Fillet,C,6-7kg,73
2022-02-20,Salmon Fillet,C,7-8kg,84
2022-02-20,Salmon Fillet,C,8-9kg,94
2022-02-20,Salmon Fillet,D,1-2kg,90
2022-02-20,Salmon Fillet,D,2-3kg,70
2022-02-20,Salmon Fillet,D,3-4kg,64
2022-02-20,Salmon Fillet,D,4-5kg,79
2022-02-20,Salmon Fillet,D,5-6kg,61
2022-02-20,Salmon Fillet,D,6-7kg,94
2022-02-20,Salmon Fillet,D,7-8kg,91
2022-02-20,Salmon Fillet,D,8-9kg,72
2022-02-20,Salmon Fillet,E,1-2kg,57
2022-02-20,Salmon Fillet,E,2-3kg,84
2022-02-20,Salmon Fillet,E,3-4kg,78
2022-02-20,Salmon Fillet,E,4-5kg,88
2022-02-20,Salmon Fillet,E,5-6kg,62
2022-02-20,Salmon Fillet,E,6-7kg,69
2022-02-20,Salmon Fillet,E,7-8kg,81
2022-02-20,Salmon Fillet,E,8-9kg,79
2022-02-20,Salmon Fillet,F,1-2kg,66
2022-02-20,Salmon Fillet,F,2-3kg,87
2022-02-20,Salmon Fillet,F,3-4kg,67
2022-02-20,Salmon Fillet,F,4-5kg,76
2022-02-20,Salmon Fillet,F,5-6kg,81
2022-02-20,Salmon Fillet,F,6-7kg,81
2022-02-20,Salmon Fillet,F,7-8kg,80
2022-02-20,Salmon Fillet,F,8-9kg,60
2022-02-20,Trout Fillet,,,106
2022-02-20,Cod Fillet,,,162
2022-02-20,Shrimp,,,147
2022-02-20,Herring,,,133
2022-02-27,Salmon Fillet,A,1-2kg,92
2022-02-27,Salmon Fillet,A,2-3kg,79
2022-02-27,Salmon Fillet,A,3-4kg,86
2022-02-27,Salmon Fillet,A,4-5kg,77
2022-02-27,Salmon Fillet,A,5-6kg,92
2022-02-27,Salmon Fillet,A,6-7kg,92
2022-02-27,Salmon Fillet,A,7-8kg,74
2022-02-27,Salmon Fillet,A,8-9kg,87
2022-02-27,Salmon Fillet,B,1-2kg,84
2022-02-27,Salmon Fillet,B,2-3kg,84
2022-02-27,Salmon Fillet,B,3-4kg,62
2022-02-27,Salmon Fillet,B,4-5kg,82
2022-02-27,Salmon Fillet,B,5-6kg,84
2022-02-27,Salmon Fillet,B,6-7kg,58
2022-02-27,Salmon Fillet,B,7-8kg,68
2022-02-27,Salmon Fillet,B,8-9kg,53
2022-02-27,Salmon Fillet,C,1-2kg,69
2022-02-27,Salmon Fillet,C,2-3kg,85
2022-02-27,Salmon Fillet,C,3-4kg,88
2022-02-27,Salmon Fillet,C,4-5kg,76
2022-02-27,Salmon Fillet,C,5-6kg,91
2022-02-27,Salmon Fillet,C,6-7kg,66
2022-02-27,Salmon Fillet,C,7-8kg,55
2022-02-27,Salmon Fillet,C,8-9kg,77
2022-02-27,Salmon Fillet,D,1-2kg,77
2022-02-27,Salmon Fillet,D,2-3kg,80
2022-02-27,Salmon Fillet,D,3-4kg,52
2022-02-27,Salmon Fillet,D,4-5kg,70
2022-02-27,Salmon Fillet,D,5-6kg,63
2022-02-27,Salmon Fillet,D,6-7kg,84
2022-02-27,Salmon Fillet,D,7-8kg,74
2022-02-27,Salmon Fillet,D,8-9kg,62
2022-02-27,Salmon Fillet,E,1-2kg,68
2022-02-27,Salmon Fillet,E,2-3kg,63
2022-02-27,Salmon Fillet,E,3-4kg,76
2022-02-27,Salmon Fillet,E,4-5kg,88
2022-02-27,Salmon Fillet,E,5-6kg,66
2022-02-27,Salmon Fillet,E,6-7kg,78
2022-02-27,Salmon Fillet,E,7-8kg,75
2022-02-27,Salmon Fillet,E,8-9kg,70
2022-02-27,Salmon Fillet,F,1-2kg,73
2022-02-27,Salmon Fillet,F,2-3kg,63
2022-02-27,Salmon Fillet,F,3-4kg,72
2022-02-27,Salmon Fillet,F,4-5kg,67
2022-02-27,Salmon Fillet,F,5-6kg,99
2022-02-27,Salmon Fillet,F,6-7kg,75
2022-02-27,Salmon Fillet,F,7-8kg,71
2022-02-27,Salmon Fillet,F,8-9kg,80
2022-02-27,Trout Fillet,,,148
2022-02-27,Cod Fillet,,,139
2022-02-27,Shrimp,,,155
2022-02-27,Herring,,,167
2022-03-06,Salmon Fillet,A,1-2kg,78
2022-03-06,Salmon Fillet,A,2-3kg,79
2022-03-06,Salmon Fillet,A,3-4kg,80
2022-03-06,Salmon Fillet,A,4-5kg,60
2022-03-06,Salmon Fillet,A,5-6kg,59
2022-03-06,Salmon Fillet,A,6-7kg,92
2022-03-06,Salmon Fillet,A,7-8kg,95
2022-03-06,Salmon Fillet,A,8-9kg,79
2022-03-06,Salmon Fillet,B,1-2kg,86
2022-03-06,Salmon Fillet,B,2-3kg,78
2022-03-06,Salmon Fillet,B,3-4kg,111
2022-03-06,Salmon Fillet,B,4-5kg,93
2022-03-06,Salmon Fillet,B,5-6kg,82
2022-03-06,Salmon Fillet,B,6-7kg,72
2022-03-06,Salmon Fillet,B,7-8kg,65
2022-03-06,Salmon Fillet,B,8-9kg,86
2022-03-06,Salmon Fillet,C,1-2kg,75
2022-03-06,Salmon Fillet,C,2-3kg,67
2022-03-06,Salmon Fillet,C,3-4kg,78
2022-03-06,Salmon Fillet,C,4-5kg,68
2022-03-06,Salmon Fillet,C,5-6kg,96
2022-03-06,Salmon Fillet,C,6-7kg,93
2022-03-06,Salmon Fillet,C,7-8kg,84
2022-03-06,Salmon Fillet,C,8-9kg,97
2022-03-06,Salmon Fillet,D,1-2kg,79
2022-03-06,Salmon Fillet,D,2-3kg,75
2022-03-06,Salmon Fillet,D,3-4kg,96
2022-03-06,Salmon Fillet,D,4-5kg,88
2022-03-06,Salmon Fillet,D,5-6kg,64
2022-03-06,Salmon Fillet,D,6-7kg,80
2022-03-06,Salmon Fillet,D,7-8kg,70
2022-03-06,Salmon Fillet,D,8-9kg,61
2022-03-06,Salmon Fillet,E,1-2kg,84
2022-03-06,Salmon Fillet,E,2-3kg,98
2022-03-06,Salmon Fillet,E,3-4kg,71
2022-03-06,Salmon Fillet,E,4-5kg,82
2022-03-06,Salmon Fillet,E,5-6kg,72
2022-03-06,Salmon Fillet,E,6-7kg,76
2022-03-06,Salmon Fillet,E,7-8kg,72
2022-03-06,Salmon Fillet,E,8-9kg,70
2022-03-06,Salmon Fillet,F,1-2kg,77
2022-03-06,Salmon Fillet,F,2-3kg,73
2022-03-06,Salmon Fillet,F,3-4kg,85
2022-03-06,Salmon Fillet,F,4-5kg,78
2022-03-06,Salmon Fillet,F,5-6kg,76
2022-03-06,Salmon Fillet,F,6-7kg,65
2022-03-06,Salmon Fillet,F,7-8kg,71
2022-03-06,Salmon Fillet,F,8-9kg,92
2022-03-06,Trout Fillet,,,153
2022-03-06,Cod Fillet,,,135
2022-03-06,Shrimp,,,158
2022-03-06,Herring,,,163
2022-03-13,Salmon Fillet,A,1-2kg,65
2022-03-13,Salmon Fillet,A,2-3kg,87
2022-03-13,Salmon Fillet,A,3-4kg,74
2022-03-13,Salmon Fillet,A,4-5kg,88
2022-03-13,Salmon Fillet,A,5-6kg,69
2022-03-13,Salmon Fillet,A,6-7kg,60
2022-03-13,Salmon Fillet,A,7-8kg,62
2022-03-13,Salmon Fillet,A,8-9kg,84
2022-03-13,Salmon Fillet,B,1-2kg,83
2022-03-13,Salmon Fillet,B,2-3kg,72
2022-03-13,Salmon Fillet,B,3-4kg,82
2022-03-13,Salmon Fillet,B,4-5kg,66
2022-03-13,Salmon Fillet,B,5-6kg,80
2022-03-13,Salmon Fillet,B,6-7kg,64
2022-03-13,Salmon Fillet,B,7-8kg,70
2022-03-13,Salmon Fillet,B,8-9kg,75
2022-03-13,Salmon Fillet,C,1-2kg,70
2022-03-13,Salmon Fillet,C,2-3kg,72
2022-03-13,Salmon Fillet,C,3-4kg,88
2022-03-13,Salmon Fillet,C,4-5kg,72
2022-03-13,Salmon Fillet,C,5-6kg,85
2022-03-13,Salmon Fillet,C,6-7kg,71
2022-03-13,Salmon Fillet,C,7-8kg,85
2022-03-13,Salmon Fillet,C,8-9kg,99
2022-03-13,Salmon Fillet,D,1-2kg,52
2022-03-13,Salmon Fillet,D,2-3kg,71
2022-03-13,Salmon Fillet,D,3-4kg,88
2022-03-13,Salmon Fillet,D,4-5kg,74
2022-03-13,Salmon Fillet,D,5-6kg,80
2022-03-13,Salmon Fillet,D,6-7kg,77
